Stazione,Altezza,TipoStazione,TipoArea,Zonizzazione
CASTELLUCCIO,970.0,Fondo,Rurale,Appennino
FEBBIO,1121.0,Fondo,Rurale,Appennino
CORTE BRUGNATELLA,765.0,Fondo,Rurale,Pianura Est
SAVIGNANO DI RIGO,615.0,Fondo,Rurale,Appennino
SAN LEO,540.0,Fondo,Rurale,Appennino
VERUCCHIO,78.0,Fondo,Suburbano,Pianura Est
BADIA,202.0,Fondo,Rurale,Pianura Ovest
GIARDINI MARGHERITA,43.0,Fondo,Urbano,Agglomerato
PARCO RESISTENZA,29.0,Fondo,Urbano,Pianura Est
PARCO BERTOZZI,35.0,Fondo,Urbano,Pianura Est
MARECCHIA,5.0,Fondo,Urbano,Pianura Est
DE AMICIS,42.0,Traffico,Urbano,Pianura Est
VIA CHIARINI,56.0,Fondo,Suburbano,Agglomerato
FRANCHINI-ANGELONI,41.0,Fondo,Urbano,Pianura Est
SAVIGNANO,32.0,Fondo,Suburbano,Pianura Est
SAN PIETRO CAPOFIUME,11.0,Fondo,Rurale,Pianura Est
SAN LAZZARO,64.0,Traffico,Urbano,Agglomerato
LUGAGNANO,210.0,Fondo,Suburbano,Pianura Ovest
GAVELLO,4.0,Fondo,Rurale,Pianura Ovest
ROMA,25.0,Traffico,Urbano,Pianura Est
CASTELLARANO,150.0,Fondo,Suburbano,Pianura Ovest
PARCO EDILCARANI,118.0,Fondo,Urbano,Pianura Ovest
DELTA CERVIA,0.0,Fondo,Suburbano,Pianura Est
BESENZONE,50.0,Fondo,Rurale,Pianura Ovest
CAORLE,4.0,Fondo,Urbano,Pianura Est
PORTA SAN FELICE,54.0,Traffico,Urbano,Agglomerato
ZALAMELLA,4.0,Traffico,Urbano,Pianura Est
VILLA FULVIA,8.0,Fondo,Urbano,Pianura Est
GHERARDI,-2.0,Fondo,Rurale,Pianura Est
PARCO FERRARI,30.0,Fondo,Urbano,Pianura Ovest
PARCO MONTECUCCO,61.0,Fondo,Urbano,Pianura Ovest
CENTO,15.0,Fondo,Suburbano,Pianura Est
BOGOLESE,35.0,Industriale,Suburbano,Pianura Ovest
SARAGAT,30.0,Fondo,Suburbano,Pianura Ovest
PARADIGNA,40.0,Industriale,Suburbano,Pianura Ovest
CENO,61.0,Industriale,Suburbano,Pianura Ovest
REMESINA,25.0,Fondo,Suburbano,Pianura Ovest
ISONZO,8.0,Traffico,Urbano,Pianura Est
GIORDANI-FARNESE,61.0,Traffico,Urbano,Pianura Ovest
S. LAZZARO,55.0,Fondo,Urbano,Pianura Ovest
S. ROCCO,22.0,Fondo,Rurale,Pianura Ovest
MALCANTONE,25.0,Industriale,Rurale,Pianura Ovest
FLAMINIA,5.0,Traffico,Urbano,Pianura Est
GIARDINI,39.0,Traffico,Urbano,Pianura Ovest
MONTEBELLO,55.0,Traffico,Urbano,Pianura Ovest
CITTADELLA,60.0,Fondo,Urbano,Pianura Ovest
SAN FRANCESCO,131.0,Fondo,Suburbano,Pianura Ovest
GERBIDO,61.0,Industriale,Suburbano,Pianura Ovest
TIMAVO,59.0,Traffico,Urbano,Pianura Ovest
